,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Human rights protection,GDP per capita (constant 2010 US$)
0,ALB,2012,5.062668912263671,2.18667332275098,0.8497543999999999,10.98630651599224,3.5,98.6721267700195,1.03964220322529,4276.60790388367
1,DZA,2012,3.836444723955614,0.88318283881822,0.4155152,10.57561973127988,3.5,101.552879333496,0.487922697068312,4588.13355679286
2,ARM,2012,8.620360914862143,2.59151763740343,0.9169955,12.15162997998707,3.6,93.851692199707,0.192295316369626,3603.5833540796
3,AUT,2012,12.269534889433755,4.050788357369,0.6169174000000001,4.0956842641276,2.5,96.693717956543,2.2864888197376,48172.2381151452
4,AZE,2012,4.084753695599346,3.0430230314441298,0.0,11.26819696419506,2.5,91.9911880493164,-0.181520626899757,5725.63412853394
5,BLR,2012,23.443464691657088,3.72595017401388,0.0,8.75178289000388,2.5,104.076461791992,0.225500043408912,6478.70481089972
6,BLZ,2012,7.188527621645472,2.57965055639544,13.66115,6.95824318007945,7.9,108.057716369629,1.16756003351601,4253.08766044306
7,BEN,2012,11.910356572384948,0.86996559584309,52.531290000000006,15.53839224713546,8.1,73.0410766601563,0.975622828618603,1057.66716880358
8,BOL,2012,7.247490310336214,1.88600675869255,8.16095,9.70540992201297,19.7,97.446418762207,1.00974450110635,2094.02394900401
9,BWA,2012,21.902835459849552,2.5728335694428903,15.54525,9.25908929221583,23.3,101.208419799805,1.83616709759672,6944.80914927972
10,BGR,2012,10.680574564872472,2.56141922606508,2.200165,9.54476962668217,4.1,101.810562133789,1.37528437487215,7083.59878715875
11,BFA,2012,12.67789822827806,0.7881535596278599,47.93311,14.16468918241802,18.5,57.3660316467285,0.516741858556956,692.444787200338
12,CMR,2012,14.946020108871098,0.99502804988301,30.243170000000006,12.558246231568932,7.1,74.2418212890625,-0.114668776702482,1325.93016371596
13,CPV,2012,16.684470917151167,1.0195640354400202,4.816529,11.3948560875368,16.1,97.7590789794922,1.73265087015468,3461.88553912386
14,TCD,2012,14.396329837582542,0.75840242941167,35.733470000000004,16.08284564118583,38.6,34.4006614685059,-0.464661988483445,909.31248602036
15,CHL,2012,10.52737911378497,3.9368635212098,0.465755,5.59133101035602,3.3,98.8201675415039,1.13849781189573,14035.669451247
16,COL,2012,5.73621226290078,3.00394712382923,6.247937,7.375498254363371,9.6,109.66822052002,-1.0127915845359,6911.76119085696
17,COG,2012,13.039054003302716,1.55404776312508,36.60079,11.63938689248069,31.2,71.6060409545898,0.258582599872018,3272.75731940926
18,CRI,2012,7.061698946715198,2.52378761699269,1.691766,4.73718699457381,3.8,102.410400390625,1.49480027114635,8796.16797499092
19,CIV,2012,14.84183448719269,0.86519384600515,35.49305,13.59299662069022,22.1,54.474479675293,-1.12272354514068,1223.6319350233
20,HRV,2012,12.659281992628149,3.1574891583906,0.8355705,7.1805887521992,2.5,92.7430114746094,2.65802604456371,13677.4207155701
